trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.7732010932899737, 'e': 0.8629487074245403}",20,0,-31.837052315595624,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
130,False,"{'a': 0.7731950250691109, 'e': 0.8581489350995122}",20,0,-75.75677775501669,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
131,False,"{'a': 0.7731891947865914, 'e': 0.8532096601986175}",20,0,-139.36765543846136,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
132,False,"{'a': 0.7731835931127194, 'e': 0.8481288363433407}",25,7,-88.02973875404845,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 1}",1
133,False,"{'a': 0.7731782110836217, 'e': 0.8429045311145472}",20,0,-131.21846872484562,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
134,False,"{'a': 0.7731730400869034, 'e': 0.8375349374193038}",20,0,-118.2833590712278,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
135,False,"{'a': 0.7731680718478665, 'e': 0.8320183851339245}",30,0,-127.32701922507196,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
136,False,"{'a': 0.7731632984162687, 'e': 0.8263533529809949}",20,5,-61.03818348798051,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
137,False,"{'a': 0.773158712153601, 'e': 0.8205384805926731}",20,0,-159.65032710808433,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
138,False,"{'a': 0.7731543057208647, 'e': 0.8145725807070177}",25,0,-184.76447326437452,"{0: 12, 1: 5, 2: 2, 3: 4, 4: 2}",0
139,False,"{'a': 0.7731500720668274, 'e': 0.8084546514385325}",20,3,-76.63722160729733,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
140,False,"{'a': 0.7731460044167393, 'e': 0.8021838885585817}",25,0,-48.64946581985244,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
141,False,"{'a': 0.7731420962614924, 'e': 0.7957596977159083}",25,0,-85.13494049640568,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
142,False,"{'a': 0.7731383413472047, 'e': 0.789181706522253}",25,0,-126.44653236640616,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
143,False,"{'a': 0.7731347336652121, 'e': 0.7824497764231125}",30,20,-1.8470400169212216,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.7731312674424539, 'e': 0.7755640142690735}",20,0,-73.28017747839914,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
145,False,"{'a': 0.7731279371322339, 'e': 0.7685247834990176}",25,0,-57.805846365057256,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
146,False,"{'a': 0.7731247374053455, 'e': 0.7613327148429104}",20,2,-18.205168405961974,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
147,False,"{'a': 0.773121663141543, 'e': 0.753988716448948}",20,9,-57.09207193281387,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
148,False,"{'a': 0.7731187094213483, 'e': 0.7464939833376623}",20,7,-39.648180045346514,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.7731158715181791, 'e': 0.738850006084249}",20,0,-52.583404005558315,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
150,False,"{'a': 0.7731131448907848, 'e': 0.7310585786300049}",25,0,-77.42396833893673,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
151,False,"{'a': 0.7731105251759798, 'e': 0.7231218051243898}",30,11,-8.66110726997652,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
